t,Close,High,Low,n,Open,Volume,vw
2024-06-05,1224.49,1224.49,1175.54,12521,1183.21,478770,1206.595659
2024-06-06,1210.89,1255.445,1183.6,15553,1240.23,652773,1208.531197
2024-06-07,1208.42,1216.21,1180.845,7150,1197.7,264492,1198.039167
2024-06-10,121.93,123.06,117.02,23894,120.34,2293876,121.162263
2024-06-11,120.92,122.775,118.765,16272,121.78,1498478,120.854565
2024-06-12,125.28,126.84,122.6,15733,123.02,1840054,125.164708
2024-06-13,129.37,129.8,127.17,17731,129.39,1724570,128.767486
2024-06-14,131.97,132.825,128.32,10608,129.9,1322940,131.175713
2024-06-17,131.1,133.71,129.61,20735,132.87,2322133,131.683172
2024-06-18,135.63,136.31,130.77,18346,131.16,2294554,134.393678
2024-06-20,130.78,140.715,129.57,39168,139.75,5074898,135.438903
2024-06-21,126.855,130.62,124.315,32294,127.01,5063212,127.153605
2024-06-24,118.08,124.46,118.05,28213,123.125,3236896,120.271389
2024-06-25,126.1,126.495,119.4,22440,121.2,2946792,123.440453
2024-06-26,126.39,128.12,122.61,15334,126.18,1732149,125.309267
2024-06-27,123.99,126.4,122.945,13595,124.09,1449437,124.169225
2024-06-28,123.43,127.7,122.77,16419,124.59,2026434,124.976212
2024-07-01,124.19,124.83,118.85,14491,123.47,1695833,122.516264
2024-07-02,122.645,123.41,121.06,12768,121.13,1371543,122.194627
2024-07-03,128.24,128.26,121.36,18316,121.66,2150798,125.001297
2024-07-05,125.85,128.85,125.705,17553,127.5,1341996,127.156679
2024-07-08,128.2,130.77,127.09,15690,127.51,1616686,128.698172
2024-07-09,131.4,133.82,128.69,15654,130.405,1589335,131.198157
2024-07-10,134.83,135.09,132.49,14119,134.03,1339920,134.346882
2024-07-11,127.44,136.06,127.065,24022,135.835,2348569,129.952773
2024-07-12,129.5,131.9,127.22,15199,128.25,1500415,129.879938
2024-07-15,128.42,131.355,127.2,12131,130.85,1101682,128.963503
2024-07-16,126.35,129.01,124.585,14846,128.41,1435422,126.17668
2024-07-17,117.97,121.85,116.73,30569,121.35,2836649,118.91435
2024-07-18,121.13,122.35,116.57,15852,121.83,1585456,119.702891
2024-07-19,118.01,121.54,117.39,10202,120.35,1015301,119.010349
2024-07-22,123.5,124.06,119.88,14493,120.37,1521317,122.445933
2024-07-23,122.62,124.685,122.11,11520,122.85,992371,123.372131
2024-07-24,114.37,119.89,113.56,16828,119.03,2148321,116.761849
2024-07-25,112.34,116.62,106.31,37363,113.07,4118118,112.401821
2024-07-26,113.08,116.17,111.59,18033,116.15,2039135,113.615457
2024-07-29,111.63,116.25,111.3,15620,113.64,1716712,113.152382
2024-07-30,103.6,111.945,102.59,26115,111.53,3760067,105.37425
2024-07-31,117.06,118.33,110.9,27930,112.915,3360787,114.708293
2024-08-01,109.37,120.14,106.82,49068,117.53,6161952,111.889151
2024-08-02,107.34,108.7,101.41,30080,103.85,3149437,105.375557
2024-08-05,100.64,103.39,90.735,58902,92.09,6339472,99.361613
2024-08-06,104.0,107.65,100.57,31078,103.845,3547880,105.025071
2024-08-07,98.85,108.72,98.7,30648,107.84,3998714,102.988927
2024-08-08,104.97,105.5,97.53,30040,102.0,3082788,102.279038
2024-08-09,104.72,106.58,103.5,16244,105.61,1478851,104.83809
2024-08-12,109.06,111.04,106.28,22302,106.33,2276801,109.094828
2024-08-13,116.12,116.22,111.58,18564,112.43,1826356,114.584091
