ticker,date,prior_close,open_price,gap_pct,day_close,day_high,day_low
NRG,2025-05-12 04:00:00+00:00,119.335,137.46,0.15188335358444727,150.71,150.77,137.46
NVDA,2024-02-22 05:00:00+00:00,674.72,750.97,0.1130098411192791,785.27,785.63,742.64
NVDA,2024-05-23 04:00:00+00:00,948.745,1020.28,0.07539960684904792,1038.64,1062.66,1015.69
NVDA,2024-07-31 04:00:00+00:00,103.6,112.915,0.08991312741312753,117.06,118.33,110.9
NVDA,2025-04-08 04:00:00+00:00,97.62,103.84,0.06371645154681416,96.41,105.845,94.485
NVDA,2025-04-23 04:00:00+00:00,98.865,104.52,0.057199211045364906,102.495,104.8,102.02
NVDA,2025-05-29 04:00:00+00:00,134.83,142.245,0.054995179114440344,139.18,143.48,137.91
NVO,2024-03-07 05:00:00+00:00,124.75,133.13,0.06717434869739475,135.94,138.28,133.05
NVO,2024-08-08 04:00:00+00:00,119.19,125.94,0.05663226780770199,128.17,128.32,123.25
NVO,2025-01-24 05:00:00+00:00,81.18,89.825,0.10649174673564912,87.97,89.88,86.59
NVO,2025-02-18 05:00:00+00:00,77.86,82.06,0.0539429745697406,82.36,82.65,81.07
NVO,2025-02-21 05:00:00+00:00,83.75,88.39,0.05540298507462687,88.07,89.23,85.83
NVO,2025-05-02 04:00:00+00:00,65.64,69.765,0.06284277879341865,69.24,69.82,68.535
NVO,2025-05-27 04:00:00+00:00,67.3,70.81,0.05215453194650825,70.43,71.285,69.99
NVO,2025-08-07 04:00:00+00:00,45.39,48.47,0.06785635602555626,48.77,49.08,47.92
NVO,2025-09-18 04:00:00+00:00,58.19,61.84,0.06272555421893806,61.85,62.23,60.855
NVO,2025-12-23 05:00:00+00:00,48.12,52.665,0.09445137157107236,51.63,53.19,51.05
NVO,2026-02-06 05:00:00+00:00,43.34,46.28,0.06783571758191041,47.68,47.735,45.84
NVO,2026-02-09 05:00:00+00:00,47.68,50.125,0.05127936241610739,49.36,51.075,49.01
OIH,2025-05-12 04:00:00+00:00,222.02,233.575,0.05204486082334915,230.67,237.685,229.48
OIH,2026-01-05 05:00:00+00:00,295.94,312.565,0.05617692775562614,311.46,316.59,303.335
OKLO,2024-05-03 04:00:00+00:00,12.87,13.58,0.05516705516705524,14.8,14.89,13.53
OKLO,2024-05-13 04:00:00+00:00,8.12,9.39,0.15640394088669968,9.73,10.77,8.67
OKLO,2024-05-15 04:00:00+00:00,11.09,12.09,0.09017132551848513,10.33,12.1,10.005
